Exporters	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	Imported value in 2022	
"French Polynesia"	25	0	3	0	96	160	130	142	5	14	29	24	36	18	4	26	31	34	337	256	
"Croatia"	9	20	0	0	0	30	9	0	0	0	0	10	17	28	91	50	64	117	134	211	
"Serbia"	0	0	0	38	283	16	22	30	4	19	270	62	52	14	53	191	459	97	453	182	
"Andorra"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	48	0		181	
"Niger"	0	0	0	0	11	18	0	0	0	0	21	0	0	0	7	107	415	12	103	142	
"Kenya"	4	20	0	0	6	39	2	34	142	4	359	275	21	0	18	62	87	8	141	138	
"Egypt"	18	77	34	18	45	28	26	202	28	0	8	6	38	60	34	35	46	44	1371	109	
"Nigeria"	5	8	0	48	33	2757	3	0	0	6	59	0	0	0	0	37	246	0	72	104	
"Uruguay"	0	3	0	0	0	41	230	40	41	7	41	37	65	22	36	41	18	61		72	
"Bulgaria"	36	87	36	24	55	11	15	11	25	3	19	5	41	70	25	0	226	21	232	66	
"Eswatini"	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	3	0		50	
"Kazakhstan"	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	188	3	63	46	
"Montenegro"	0	0	0	0	0	0	0	0	0	0	0	0	36	0	61	0	0	0	28	45	
"Sierra Leone"	0	0	0	13	28	5	21	0	0	0	0	9	31	44	39	14	6	7	15	41	
"Estonia"	0	0	0	0	14	0	0	0	0	0	16	292	16	94	75	107	227	0	69	40	
"Bolivia, Plurinational State of"	4	4	18	32	0	109	124	0	11	6	3	0	184	30	0	203	26	19	47	39	
