Exporters	Imported value in 2002	Imported value in 2003	Imported value in 2004	Imported value in 2005	Imported value in 2006	Imported value in 2007	Imported value in 2008	Imported value in 2009	Imported value in 2010	Imported value in 2011	Imported value in 2012	Imported value in 2013	Imported value in 2014	Imported value in 2015	Imported value in 2016	Imported value in 2017	Imported value in 2018	Imported value in 2019	Imported value in 2020	Imported value in 2021	
"Bangladesh"	464	263	383	1374	10068	11835	4898	1796	5597	7406	7441	3310	6209	4093	3407	4247	6758	6015	5462	6289	
"Côte d'Ivoire"	41	0	11	1	751	384	0	0	483	1447	956	0	1182	1538	3170	3612	6234	10230	5712	6169	
"Mauritius"	136	2685	2228	993	1324	395	263	230	378	572	1333	377	347	764	1277	1555	29948	2151	1875	6105	
"Bahrain"	75	41	95	302	441	128	36	256	711	2542	4015	1306	1946	1319	975	2105	2490	2575	1602	5181	
"Myanmar"	10	1	17	13	42	0	45	56	173	4429	3854	457	85	109	144	297	374	1505	3740	4859	
"New Zealand"	2638	3569	1861	2748	2355	4193	3097	2564	8371	11610	9021	5736	5257	5115	5201	5869	5417	3874	5158	4357	
"Morocco"	1130	1453	1840	5096	8684	10687	12086	5908	6180	5629	3978	3036	4318	5429	3909	2743	1384	1239	1685	4200	
"Madagascar"	0	0	9	2	0	0	0	576	404	678	278	444	1133	1214	1378	2825	3215	4574	2602	4148	
"Mauritania"	0	0	105	0	80	0	18	0	0	48	341	1314	1492	2544	1934	1523	4190	2951	2448	3564	
"Ukraine"	852	2679	4213	2999	6252	1516	6415	5309	4337	9372	17968	54299	13378	7683	11641	7835	3632	2577	8077	3453	
"Greece"	744	275	347	1486	1357	884	5254	14738	3779	9536	2291	2039	4691	3493	4006	3492	4181	6569	1866	3430	
"Nigeria"	284	451	37	471	84	310	63	20	668	3595	7031	1417	524	28	60	529	911	8864	2796	3401	
"Nepal"	2029	3082	4391	5002	3773	2292	4014	1364	2192	3873	1368	634	1114	375	552	537	1275	1202	392	3194	
"Congo, Democratic Republic of the"	0	3	0	5	64	3	0	0	0	0	18	0	0	52	23	1428	2997	1796	2269	3163	
"Saudi Arabia"	635	3439	1775	835	249	516	4167	4821	1317	7046	10957	830	759	1453	280	1001	5734	12241	4497	3074	
"Namibia"	0	0	0	18	49	28	62	1290	52	63	304	547	243	1174	1712	2794	2300	2596	1897	2861	
"Tunisia"	66	5	41	197	130	96	199	634	1683	3559	2281	3516	4898	3803	3903	4824	5313	3322	5504	2649	
